Material Type,Closing Cost,Closing Weight,Closing Cost/um,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Commodity,Commodity Type,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current),Start Date,End Date
ACR AL/CU RADIATOR ENDS,1175.0073,1625,0.72308141538461538462,1175.0073,1625,0,0,ALCURAEND,1625,1625,0E-20,ALUMINUM,NON_FERROUS,1175.0073,1625,0,0,0,0,0,0,0,0,1175.0073,1625,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.72308141538461538462,0.8676976984615384615440,,0,0,2025-12-31,2025-12-31
ACSR WIRE,8.2000,41,0.20000000000000000000,8.2000,41,0,0,AL0ACSR,41,41,0E-20,ALUMINUM,NON_FERROUS,8.2000,41,0,0,0,0,0,0,0,0,8.2000,41,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.20000000000000000000,0.2400000000000000000000,,0,0,2025-12-31,2025-12-31
AL BX CABLE,235.7500,205,1.1500000000000000,235.7500,205,0,0,ALBXCBL,205,205,0E-20,COPPER TIER 2,NON_FERROUS,235.7500,205,0,0,0,0,0,0,0,0,235.7500,205,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,1.1500000000000000,1.380000000000000000,,0,0,2025-12-31,2025-12-31
AL/CU RADIATORS - CLEAN,3076.6363,2228,1.3808960053859964,1430.6500,923,1645.9863,1305,ALCURAD,2228,2228,0E-20,ALUMINUM,NON_FERROUS,3076.6363,2228,0,0,0,0,0,0,0,0,1430.6500,923,0,0,0,0,1645.9863,1305,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,1.3808960053859964,1.657075206463195680,,0,0,2025-12-31,2025-12-31
AL/CU RADIATORS - FE,506.2985,460,1.1006489130434783,506.2985,460,0,0,ALCURFE,460,460,0E-20,ALUMINUM,NON_FERROUS,506.2985,460,0,0,0,0,0,0,0,0,506.2985,460,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,1.1006489130434783,1.320778695652173960,,0,0,2025-12-31,2025-12-31
AL DUST,-0.1074,0,0,-0.1074,0,0,0,ALDUST,0,0,0,ALUMINUM,NON_FERROUS,-0.1074,0,0,0,0,0,0,0,0,0,-0.1074,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
ALTERNATORS,138.2999,309,0.44757249190938511327,138.2999,309,0,0,CUALTER,309,309,0E-20,COPPER TIER 3,NON_FERROUS,138.2999,309,0,0,0,0,0,0,0,0,138.2999,309,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.44757249190938511327,0.5370869902912621359240,,0,0,2025-12-31,2025-12-31
ALUM ARMATURE,95.4820,1385,0.06894007220216606498,95.4820,1385,0,0,ALUARM,1385,1385,0E-20,ALUMINUM,NON_FERROUS,95.4820,1385,0,0,0,0,0,0,0,0,95.4820,1385,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.06894007220216606498,0.0827280866425992779760,,0,0,2025-12-31,2025-12-31
ALUM BX WIRE,5.8204,43,0.13535813953488372093,5.8204,43,0,0,ALBXWI,43,43,0E-20,COPPER TIER 2,NON_FERROUS,5.8204,43,0,0,0,0,0,0,0,0,5.8204,43,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.13535813953488372093,0.1624297674418604651160,,0,0,2025-12-31,2025-12-31
ALUMINUM/BRONZE,1105.9198,546,2.0254941391941392,1105.9198,546,0,0,ALBRZ,546,546,0E-20,ALUMINUM,NON_FERROUS,1105.9198,546,0,0,0,0,0,0,0,0,1105.9198,546,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.0254941391941392,2.430592967032967040,,0,0,2025-12-31,2025-12-31
ALUMINUM BRONZE TURNINGS,1718.4000,716,2.4000000000000000,657.6000,274,1060.8000,442," ALBZTS1",716,716,0E-20,ALUMINUM,NON_FERROUS,1718.4000,716,0,0,0,0,0,0,0,0,657.6000,274,0,0,0,0,1060.8000,442,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.4000000000000000,2.880000000000000000,,0,0,2025-12-31,2025-12-31
ALUMINUM CANS,204.4086,584,0.35001472602739726027,204.4086,584,0,0,AL00UBC,584,584,0E-20,ALUMINUM,NON_FERROUS,204.4086,584,0,0,0,0,0,0,0,0,204.4086,584,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.35001472602739726027,0.4200176712328767123240,,0,0,2025-12-31,2025-12-31
