Location,code,name,commodity,metal,ctype,current_wt,inbound_wt,outbound_wt,opening_wt,avg_cost,opening_value_est,flag
Merrillville,ALNCST,ALUMINUM NEW CAST,ALUMINUM,ALUMINUM,NON_FERROUS,38.0,0.0,0.0,38.0,0.4,15.2,
Merrillville,ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,ALUMINUM,NON_FERROUS,2687.0,0.0,15425.0,18112.0,0.45,8224.66,
Merrillville,ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,ALUMINUM,NON_FERROUS,4616.0,0.0,22694.0,27310.0,0.57,15613.13,
Merrillville,AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,ALUMINUM,NON_FERROUS,91.0,0.0,4228.0,4319.0,0.35,1511.65,
Merrillville,AL0RDFE,ALUMINUM RADIATORS - FE,ALUMINUM,ALUMINUM,NON_FERROUS,1010.0,0.0,0.0,1010.0,0.29,295.42,
Merrillville,ALWHEEL,ALUMINUM RIMS,ALUMINUM,ALUMINUM,NON_FERROUS,2996.0,0.0,1972.0,4968.0,0.7,3495.48,
Merrillville,ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,ALUMINUM,NON_FERROUS,2420.0,0.0,354.0,2774.0,0.58,1597.82,
Merrillville,ALTRSTK,ALUMINUM TRAILER STOCK,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,8159.0,8159.0,,,
Merrillville,ALBRZ,ALUMINUM/BRONZE,ALUMINUM,ALUMINUM,NON_FERROUS,842.0,0.0,744.0,1586.0,2.29,3627.5,
Merrillville,PMLC,Aluminum Painted MLC,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,CASAL,CAST AL,ALUMINUM,ALUMINUM,NON_FERROUS,14.0,0.0,0.0,14.0,0.3,4.2,
Merrillville,ALWHLCR,CHROME RIMS,ALUMINUM,ALUMINUM,NON_FERROUS,753.0,0.0,0.0,753.0,0.45,335.99,
