yard,code,name,commodity,metal,wt,cost,price,src,mkt
Merrillville,ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,ALUMINUM,155.0,13.95,0.25,recent sale,38.75
Milton,ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,ALUMINUM,3848.0,342.6123,0.25,recent sale,962.0
Merrillville,ALUTURN,ALUMINIUM TURNS,ALUMINUM,ALUMINUM,1907.0,407.35,1.0586,recent sale,2018.72
Milton,ALUTURN,ALUMINIUM TURNS,ALUMINUM,ALUMINUM,12955.0,3239.0814,1.0586,recent sale,13713.99
Merrillville,ALUBREAK,ALUMINUM BREAK,ALUMINUM,ALUMINUM,24123.0,2444.3427,0.1382,YTD sale,3334.21
Milton,ALUBREAK,ALUMINUM BREAK,ALUMINUM,ALUMINUM,14009.0,1223.0676,0.1382,YTD sale,1936.28
Merrillville, ALBZTS1,ALUMINUM BRONZE TURNINGS,ALUMINUM,ALUMINUM,0.0,0.0,3.18,YTD sale,0.0
Merrillville,AL00UBC,ALUMINUM CANS,ALUMINUM,ALUMINUM,1994.0,797.5989,0.8,recent sale,1595.2
Milton,AL00UBC,ALUMINUM CANS,ALUMINUM,ALUMINUM,592.0,118.4,0.8,recent sale,473.6
Merrillville,ALDCAST,ALUMINUM DIE-CAST,ALUMINUM,ALUMINUM,3.0,1.2,0.4,avg cost,1.2
Milton,ALDCAST,ALUMINUM DIE-CAST,ALUMINUM,ALUMINUM,0.0,0.0,0.4,avg cost,0.0
Merrillville,ALFOIL,ALUMINUM FOIL,ALUMINUM,ALUMINUM,2.0,0.12,0.06,avg cost,0.12
Milton,ALFOIL,ALUMINUM FOIL,ALUMINUM,ALUMINUM,0.0,0.0,0.06,avg cost,0.0
Milton,ALLITHO,ALUMINUM LITHO,ALUMINUM,ALUMINUM,0.0,0.0,1.7185,YTD sale,0.0
Merrillville,ALUMLC,ALUMINUM MLC,ALUMINUM,ALUMINUM,417.0,166.8,1.17,recent sale,487.89
Milton,ALUMLC,ALUMINUM MLC,ALUMINUM,ALUMINUM,3322.0,2354.3333,1.17,recent sale,3886.74
Merrillville,ALMOLDS,ALUMINUM MOLDS,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
Milton,ALMOLDS,ALUMINUM MOLDS,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
Milton,ALMOTOR,ALUMINUM MOTOR BLOCKS WHOLE,ALUMINUM,ALUMINUM,6353.0,821.0748,0.13,purchase,825.89
Merrillville,ALNCST,ALUMINUM NEW CAST,ALUMINUM,ALUMINUM,38.0,15.2,0.3,purchase,11.4
Milton,ALNCST,ALUMINUM NEW CAST,ALUMINUM,ALUMINUM,184.0,55.2,0.3,purchase,55.2
Merrillville,ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,ALUMINUM,2687.0,1220.1436,0.8904,recent sale,2392.62
Milton,ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,ALUMINUM,1881.0,560.9226,0.8904,recent sale,1674.92
Merrillville,ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,ALUMINUM,4616.0,2638.7713,1.137,recent sale,5248.17
Milton,ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,ALUMINUM,2518.0,1003.5055,1.137,recent sale,2862.85
Merrillville,AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,ALUMINUM,91.0,31.85,1.7,recent sale,154.7
Milton,AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,ALUMINUM,403.0,81.155,1.7,recent sale,685.1
Merrillville,AL0RDFE,ALUMINUM RADIATORS - FE,ALUMINUM,ALUMINUM,1010.0,295.4659,0.15,purchase,151.5
Milton,AL0RDFE,ALUMINUM RADIATORS - FE,ALUMINUM,ALUMINUM,1877.0,274.7847,0.15,purchase,281.55
Merrillville,ALWHEEL,ALUMINUM RIMS,ALUMINUM,ALUMINUM,2996.0,2108.0723,1.64,recent sale,4913.44
Milton,ALWHEEL,ALUMINUM RIMS,ALUMINUM,ALUMINUM,145.0,72.5,1.64,recent sale,237.8
Milton,ALSKMS,ALUMINUM SPILLS,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
Merrillville,ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,ALUMINUM,2420.0,1394.0,0.8824,YTD sale,2135.29
Milton,ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,ALUMINUM,1242.0,411.5861,0.8824,YTD sale,1095.88
Merrillville,ALTRSTK,ALUMINUM TRAILER STOCK,ALUMINUM,ALUMINUM,0.0,0.0,1.0336,YTD sale,0.0
Merrillville,ALBRZ,ALUMINUM/BRONZE,ALUMINUM,ALUMINUM,842.0,1925.8552,3.68,YTD sale,3098.56
Milton,ALBRZ,ALUMINUM/BRONZE,ALUMINUM,ALUMINUM,381.0,880.7,3.68,YTD sale,1402.08
Merrillville,PMLC,Aluminum Painted MLC,ALUMINUM,ALUMINUM,0.0,0.0,0.5,purchase,0.0
Milton,PMLC,Aluminum Painted MLC,ALUMINUM,ALUMINUM,0.0,0.0,0.5,purchase,0.0
Merrillville,CASAL,CAST AL,ALUMINUM,ALUMINUM,14.0,4.2,0.3,avg cost,4.2
Milton,CASAL,CAST AL,ALUMINUM,ALUMINUM,0.0,0.0,0.3,avg cost,0.0
Merrillville,ALWHLCR,CHROME RIMS,ALUMINUM,ALUMINUM,753.0,335.9848,0.89,YTD sale,670.17
Milton,ALWHLCR,CHROME RIMS,ALUMINUM,ALUMINUM,1159.0,434.3518,0.89,YTD sale,1031.51
Merrillville,CCAL,CLEAN CAST ALUMINUM,ALUMINUM,ALUMINUM,2213.0,904.158,1.1266,recent sale,2493.26
Milton,CCAL,CLEAN CAST ALUMINUM,ALUMINUM,ALUMINUM,0.0,0.0,1.1266,recent sale,0.0
Milton,CUALTRNMX,COPPER / AL TURNINGS MIX,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
