Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
5052 ALUMINUM,AL05052,ALUMINUM,0,2318,3858.0914,11895,18125.3537,14213,21983.4451,1.5467,NON_FERROUS
5052 ALUMINUM SHEET W/POLY,AL5052SHPOLY,ALUMINUM,0,1938,2940.3113,0,0,1938,2940.3113,1.5172,NON_FERROUS
6022 ALUMINUM,6022ALUM,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
60/40 NAVAL BRASS,6040NAVBR,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
6061 AL RIMS,6061ALR,ALUMINUM,0,357,262.0608,600,220.4400,957,482.5008,0.5042,NON_FERROUS
6061 ALUMINUM EXTRUSIONS,ALEXTRU,ALUMINUM,0,828,579.6000,0,0,828,579.6000,0.7000,NON_FERROUS
6061 ALUMINUM - SPC,AL06061,ALUMINUM,0,100,90.4103,1997,1792.8613,2097,1883.2716,0.8981,NON_FERROUS
6061 PAINTED SPC,6061PTDSPCAL,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
6061 TURNINGS,AL6061TURNS,ALUMINUM,0,20455,7042.0390,0,0,20455,7042.0390,0.3443,NON_FERROUS
6063 AL SOLIDS,6063ALS,ALUMINUM,0,0,0,442,354.9195,442,354.9195,0.8030,NON_FERROUS
6063 BARE ALUMINUM EXTRUSION,AL06063,ALUMINUM,0,4404,4233.5763,8899,11362.3321,13303,15595.9084,1.1724,NON_FERROUS
6063 PAINTED EXTRUSION,AL06310,ALUMINUM,0,210,105.0000,700,514.3472,910,619.3472,0.6806,NON_FERROUS
6063 PIPE,6063PIAL,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
6105 TURNINGS,6105 turnings,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
7000 SERIES ALUMINUM,AL07000,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
7075 ALUMINUM,AL07075,ALUMINUM,0,0,0,1346,781.8168,1346,781.8168,0.5808,NON_FERROUS
AA AUTO PARTS,AAAPRT,STEEL,0,0,0,0,0,0,0,0,FERROUS
AC PUMPS,ACPUM,OTHER,0,988,92.7244,0,0,988,92.7244,0.0939,Other
ACR AL/CU RADIATOR ENDS,ALCURAEND,ALUMINUM,0,281,60.3041,0,0,281,60.3041,0.2146,NON_FERROUS
ACSR WIRE,AL0ACSR,ALUMINUM,0,866,216.5000,474,98.2371,1340,314.7371,0.2349,NON_FERROUS
AL 5086,5086,ALUMINUM,0,150,127.5000,0,0,150,127.5000,0.8500,NON_FERROUS
AL BX CABLE,ALBXCBL,COPPER TIER 2,0,54,67.5000,0,0,54,67.5000,1.2500,NON_FERROUS
AL CAST - 356,CASTAL356,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
AL/CU RADIATORS - CLEAN,ALCURAD,ALUMINUM,0,1766,2471.9562,0,0,1766,2471.9562,1.3997,NON_FERROUS
AL/CU RADIATORS - FE,ALCURFE,ALUMINUM,0,486,528.8768,135,127.7933,621,656.6701,1.0574,NON_FERROUS
AL DUST,ALDUST,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
AL TANKS,ALTANKS,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALTERNATORS,CUALTER,COPPER TIER 3,0,1105,164.3211,682,76.0287,1787,240.3498,0.1345,NON_FERROUS
ALUM ARMATURE,ALUARM,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUM BARE EC WIRE,ALUMBRECWR,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUM BX WIRE,ALBXWI,COPPER TIER 2,0,19,1.9000,0,0,19,1.9000,0.1000,NON_FERROUS
ALUM DROSS,ALUMDROSS,ALUMINUM,0,33906,5961.8957,0,0,33906,5961.8957,0.1758,NON_FERROUS
ALUMINIUM TURNS,ALUTURN,ALUMINUM,0,15156,3742.2184,3252,802.5730,18408,4544.7914,0.2469,NON_FERROUS
ALUMINUM BREAK,ALUBREAK,ALUMINUM,0,14855,1294.9076,0,0,14855,1294.9076,0.0872,NON_FERROUS
ALUMINUM/BRONZE,ALBRZ,ALUMINUM,0,381,880.7000,0,0,381,880.7000,2.3115,NON_FERROUS
ALUMINUM CANS,AL00UBC,ALUMINUM,0,606,121.2000,0,0,606,121.2000,0.2000,NON_FERROUS
ALUMINUM DIE-CAST,ALDCAST,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUMINUM FOIL,ALFOIL,ALUMINUM,0,8,0.4800,0,0,8,0.4800,0.0600,NON_FERROUS
ALUMINUM LITHO,ALLITHO,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUMINUM MLC,ALUMLC,ALUMINUM,0,2105,1523.5197,1217,830.8136,3322,2354.3333,0.7087,NON_FERROUS
ALUMINUM MOLDS,ALMOLDS,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUMINUM MOTOR BLOCKS WHOLE,ALMOTOR,ALUMINUM,0,6715,868.1348,0,0,6715,868.1348,0.1293,NON_FERROUS
ALUMINUM NEW CAST,ALNCST,ALUMINUM,0,39,11.7000,0,0,39,11.7000,0.3000,NON_FERROUS
