Outbound Ticket Id,Status,Customer Name,Invoice Id,Invoice Issue Date,Invoice Status,Commodity Name,Material Name,Yard Net Weight,Yard Value,Consumer Net Weight,Consumer Value,Amount (Invoice Currency),Cost Of Goods Sold (Yard Currency),Cost Of Goods Sold (Invoice Currency),Margin,Commodity Type,Sales Order #,Carrier Name,Ship To Name,Ship To Address,Ship To City,Ship To State,Ship To Zip
1328,SHIPPED,Padnos,1367,"01-08-26, 14:31:50",PAID,ALUMINUM,ZZ DO NOT USE - ALUMINUM TURNINGS,774,$417.65,774,$417.65,$417.65,$182.17,$182.17,$235.48,NON_FERROUS,363,,Benton Harbor,1410 Paw Paw Ave,Benton Harbor,MI,49022
1328,SHIPPED,Padnos,1367,"01-08-26, 14:31:50",PAID,STAINLESS STEEL TIER 1,17-4 STAINLESS STEEL TURNINGS,230,$25.30,230,$25.30,$25.30,$1.62,$1.62,$23.68,NON_FERROUS,363,,Benton Harbor,1410 Paw Paw Ave,Benton Harbor,MI,49022
1286,SHIPPED,Omni Source,1323,"01-08-26, 13:19:11",PAID,STEEL,BUSHELING,"41,480","$6,629.39","15,620","$1,691.51","$1,691.51","$4,935.61","$4,935.61","($3,244.10)",FERROUS,334,Bettchers Transportation,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1283,SHIPPED,Padnos,1363,"01-08-26, 10:04:02",PAID,ALUMINUM,5052 ALUMINUM,"11,610","$13,351.50","11,610","$11,847.60","$11,847.60","$14,863.69","$14,863.69","($3,016.09)",NON_FERROUS,353,BMR Transport,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1283,SHIPPED,Padnos,1363,"01-08-26, 10:04:02",PAID,ALUMINUM,6061 ALUMINUM - SPC,"1,290","$1,483.50","1,290","$1,393.20","$1,393.20",$883.21,$883.21,$509.99,NON_FERROUS,353,BMR Transport,Dowagiac,30750 Edwards St,Dowagiac,MI,49047
1282,SHIPPED,Padnos,1320,"01-07-26, 13:12:40",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"61,060","$7,223.62","61,120","$6,685.00","$6,685.00","$1,823.60","$1,823.60","$4,861.40",FERROUS,343,Padnos Trucking,Holland Location,140 West 7th Street,Holland,MI,49423
1278,SHIPPED,Padnos,1318,"01-06-26, 14:42:41",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"50,700","$5,997.99","50,600","$5,534.37","$5,534.37","$1,528.79","$1,528.79","$4,005.58",FERROUS,343,Padnos Trucking,Holland Location,140 West 7th Street,Holland,MI,49423
1279,PAID,Padnos,1317,"01-06-26, 13:56:18",PAID,STEEL,STEEL BANDING (fe),"26,800","$3,469.64","26,800","$2,251.79","$2,251.79",$0.00,$0.00,"$2,251.79",FERROUS,342,BMR Transport - 2,Holland Location,140 West 7th Street,Holland,MI,49423
1276,PAID,Omni Source,1314,"01-05-26, 08:33:43",PAID,STEEL,BUSHELING,"28,880","$4,615.64","28,680","$4,967.80","$4,967.80",$0.00,$0.00,"$4,967.80",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1271,PAID,Omni Source,1311,"01-02-26, 14:17:51",PAID,STEEL,STEEL WIRE,"37,940","$3,827.88","37,940","$4,002.67","$4,002.67",$0.00,$0.00,"$4,002.67",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
