Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
SILVER PLTD BUSS BAR,SVPBB,COPPER TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
SOFT LEAD,SOFLEA,LEAD,0,1280,388.5451,0,0,1280,388.5451,0.3036,NON_FERROUS
STAINLESS STEEL - FE,NIMIXD,STAINLESS STEEL TIER 1,0,13934,4408.6033,0,0,13934,4408.6033,0.3164,NON_FERROUS
STARTERS,CUSTART,COPPER TIER 3,0,82,20.5000,0,0,82,20.5000,0.2500,NON_FERROUS
STEEL BX CABLE,STBXCAB,STEEL,0,9,0.7238,0,0,9,0.7238,0.0804,FERROUS
STEEL BX WIRE (fe),STBXW,STEEL,0,228,30.2000,0,0,228,30.2000,0.1325,FERROUS
STEEL CABLE,STCBLE,STEEL,0,0,0,0,0,0,0,0,FERROUS
STEEL CASED BATTERIES,LEFECAS,LEAD,0,0,0,0,0,0,0,0,NON_FERROUS
STEEL CASED COPPER TRANSFORMERS,STCSCOTRA,COPPER TIER 3,0,266,48.5571,0,0,266,48.5571,0.1825,NON_FERROUS
STEEL TURNING,TURNSTEEL,STEEL,0,1852,95.0800,0,0,1852,95.0800,0.0513,FERROUS
Teck Cable,TCABLE,COPPER TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
TIN PLATED BUSBAR,TCUBSBR,COPPER TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
TIN PLTD COPPER WIRE,TNPDCWR,COPPER TIER 1,0,119.0,521.3452,0,0,119.0,521.3452,4.3811,NON_FERROUS
TITANIUM TURNINGS,TTSS,STAINLESS STEEL TIER 2,0,33,4.9500,0,0,33,4.9500,0.1500,NON_FERROUS
TUNGSTEN MOLY TA INSERTS,TUNGMOTAINS,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
"UNPREPARED P&S ",UNPREP,STEEL,0,27438,2530.6814,0,0,27438,2530.6814,0.0922,FERROUS
WASTE,WASTE,ZWASTE,0,13178,0.0000,0,0,13178,0.0000,0.0000,WA
WHEEL WEIGHTS,LEWHEEL,LEAD,0,398,42.2676,0,0,398,42.2676,0.1062,NON_FERROUS
YELLOW BRASS SHELLS,BRSHEL,BRASS TIER 1,0,70,107.1000,0,0,70,107.1000,1.5300,NON_FERROUS
YELLOW BRASS SOLIDS,BRYELLO,BRASS TIER 1,0,259,762.6500,0,0,259,762.6500,2.9446,NON_FERROUS
