date,FCX,SCCO,COPX,BHP,RIO,VALE,FXI,MCHI,ASHR,KWEB,DBB,PICK,XME,SLX,CPER,SPY,GLD,USO,VIX,DX_Y_NYB,TNX,CNY,CLP,AUD,PEN
2022-04-01,47.93650817871094,62.86547088623047,42.14127731323242,57.068355560302734,63.69195556640625,14.679652214050293,29.846784591674805,49.24162292480469,31.4093017578125,27.064388275146484,22.34315299987793,43.894378662109375,59.963565826416016,60.77513122558594,28.649999618530273,427.48504638671875,179.5,74.16999816894531,19.6299991607666,98.62999725341797,2.377000093460083,6.338900089263916,786.280029296875,1.3347699642181396,3.7219998836517334
2022-04-04,47.88006591796875,62.7287483215332,42.27663040161133,56.69413757324219,62.690513610839844,14.961548805236816,30.862651824951172,50.80656433105469,31.50250244140625,29.133861541748047,22.248952865600586,44.07831954956055,59.62733459472656,60.76633834838867,29.1200008392334,431.1470947265625,180.3699951171875,76.86000061035156,18.56999969482422,98.98999786376953,2.4119999408721924,6.362100124359131,782.5,1.3357399702072144,3.6123180389404297
2022-04-05,46.17745590209961,59.68881607055664,41.067440032958984,55.542694091796875,62.004905700683594,14.327285766601562,30.017593383789062,49.39451217651367,31.027170181274414,27.74525260925293,22.274642944335938,43.14190673828125,58.18637466430664,59.403865814208984,28.920000076293945,425.70111083984375,179.24000549316406,74.80000305175781,21.030000686645508,99.47000122070312,2.555999994277954,6.362400054931641,778.530029296875,1.3255740404129028,3.628000020980835
2022-04-06,45.20856475830078,58.61922836303711,40.264320373535156,55.64344024658203,62.06653594970703,14.432997703552246,29.433244705200195,48.585060119628906,31.064453125,26.93000602722168,22.206132888793945,42.56501007080078,57.773292541503906,58.89403533935547,28.729999542236328,421.44439697265625,179.66000366210938,73.05000305175781,22.100000381469727,99.5999984741211,2.6089999675750732,6.363100051879883,786.9099731445312,1.318269968032837,3.697999954223633
2022-04-07,45.60364532470703,59.053497314453125,40.661373138427734,55.665035247802734,62.2822380065918,14.432997703552246,28.992734909057617,47.73064422607422,30.784841537475586,25.881832122802734,21.983470916748047,42.682064056396484,59.07017135620117,59.36870574951172,28.649999618530273,423.5680236816406,180.33999633789062,73.11000061035156,21.549999237060547,99.75,2.6519999504089355,6.358500003814697,799.4099731445312,1.3324300050735474,3.7170000076293945
2022-04-08,46.064571380615234,59.37519073486328,41.004268646240234,55.895328521728516,61.84312438964844,14.16519832611084,29.019702911376953,47.856563568115234,30.86872673034668,25.810161590576172,22.120492935180664,42.94960403442383,58.95488739013672,59.35111999511719,28.670000076293945,422.43548583984375,181.47000122070312,74.11000061035156,21.15999984741211,99.80000305175781,2.7130000591278076,6.3597002029418945,805.5499877929688,1.3371700048446655,3.7170000076293945
2022-04-11,44.888736724853516,59.14194869995117,40.16505813598633,54.621543884277344,61.427154541015625,14.10177230834961,28.327476501464844,46.71432876586914,29.890098571777344,25.47869110107422,21.743680953979492,42.35598373413086,58.40731430053711,59.28959274291992,28.100000381469727,415.215087890625,182.3699951171875,72.30000305175781,24.3700008392334,99.93000030517578,2.7799999713897705,6.363999843597412,814.5,1.3429100513458252,3.7119998931884766
2022-04-12,45.152122497558594,59.02132034301758,40.30944061279297,55.43474578857422,62.004905700683594,14.045390129089355,28.219594955444336,46.66037368774414,30.43999481201172,24.994915008544922,22.146183013916016,42.48140335083008,59.877113342285156,59.79942321777344,28.56999969482422,413.6766052246094,183.77000427246094,75.9800033569336,24.260000228881836,100.29000091552734,2.7249999046325684,6.36870002746582,816.75,1.3485599756240845,3.7125000953674316
2022-04-13,46.643043518066406,59.99443817138672,41.69910430908203,56.22636032104492,63.121910095214844,14.03129768371582,28.76798439025879,47.4338493347168,30.50523567199707,25.872873306274414,22.163312911987305,43.45962142944336,62.59572982788086,61.35528564453125,28.600000381469727,418.4146423339844,184.64999389648438,78.41999816894531,21.81999969482422,99.87999725341797,2.687000036239624,6.364999771118164,805.5499877929688,1.3413820266723633,3.7019999027252197
2022-04-14,46.41656494140625,58.538787841796875,41.6088752746582,56.24075698852539,63.067989349365234,13.728259086608887,28.444345474243164,46.95716857910156,30.523876190185547,24.959081649780273,22.163312911987305,43.34257125854492,63.258575439453125,61.26737976074219,28.59000015258789,413.2047119140625,184.0399932861328,79.56999969482422,22.700000762939453,100.31999969482422,2.828000068664551,6.367199897766113,805.3499755859375,1.3420120477676392,3.7325000762939453
2022-04-15,,,,,,,,,,,,,,,,,,,,,,6.377399921417236,814.9000244140625,1.3494999408721924,3.7300000190734863
2022-04-18,47.90748977661133,58.88459777832031,41.98787307739258,56.406280517578125,63.47626876831055,13.622549057006836,28.183635711669922,46.597415924072266,30.430675506591797,24.484268188476562,22.454483032226562,43.42617416381836,62.97999954223633,61.47835159301758,29.25,413.3746032714844,184.61000061035156,80.41000366210938,22.170000076293945,100.77999877929688,2.861999988555908,6.370200157165527,814.4500122070312,1.3524800539016724,3.7279999256134033
2022-04-19,47.784812927246094,58.45033264160156,41.81642532348633,56.03205108642578,62.16668701171875,13.2138032913208,27.904943466186523,46.28261947631836,29.99262237548828,24.609689712524414,22.18044090270996,43.30912780761719,63.056846618652344,61.68051528930664,28.6200008392334,420.04754638671875,181.82000732421875,76.86000061035156,21.3700008392334,100.95999908447266,2.9130001068115234,6.366199970245361,816.0900268554688,1.3591400384902954,3.7309999465942383
2022-04-20,47.0865364074707,57.734588623046875,41.09451675415039,55.34119415283203,60.533565521240234,13.002381324768066,27.08685874938965,44.879581451416016,29.42408561706543,23.427135467529297,22.00916290283203,42.74895095825195,63.00881576538086,60.924560546875,28.399999618530273,419.73602294921875,182.7100067138672,77.23999786376953,20.31999969482422,100.38999938964844,2.8399999141693115,6.392399787902832,819.2999877929688,1.3524500131607056,3.7074999809265137
2022-04-21,42.41564178466797,54.82332229614258,38.91074752807617,51.426292419433594,57.629364013671875,12.438594818115234,26.286745071411133,43.341617584228516,28.63186264038086,22.2087459564209,22.18044090270996,40.76742935180664,59.118194580078125,59.05226135253906,28.420000076293945,413.4595031738281,182.05999755859375,78.12000274658203,22.68000030517578,100.58000183105469,2.9170000553131104,6.417699813842773,814.9299926757812,1.3428230285644531,3.7060000896453857
2022-04-22,39.547027587890625,53.19076919555664,36.99769592285156,48.92909622192383,55.98081970214844,11.769094467163086,26.52947425842285,43.61144256591797,28.5479793548584,22.513341903686523,21.820756912231445,38.61033248901367,56.12097930908203,56.766822814941406,27.829999923706055,402.114501953125,180.2899932861328,76.30999755859375,28.209999084472656,101.22000122070312,2.9059998989105225,6.4492998123168945,824.3499755859375,1.358489990234375,3.660806894302368
2022-04-25,39.301692962646484,51.70296859741211,36.30286407470703,47.425025939941406,54.571109771728516,11.402630805969238,26.232803344726562,42.77500915527344,26.96353530883789,22.540218353271484,21.08426284790039,37.51506423950195,55.03545379638672,55.16701126098633,27.270000457763672,404.44580078125,177.0500030517578,74.6500015258789,27.020000457763672,101.75,2.8259999752044678,6.50029993057251,836.75,1.3818000555038452,3.673969030380249
2022-04-26,37.914573669433594,49.91761779785156,34.83197784423828,46.23759841918945,52.95337677001953,11.000929832458496,25.675426483154297,41.82164764404297,26.54412269592285,22.110200881958008,20.87873077392578,36.436519622802734,54.074806213378906,53.39140319824219,26.899999618530273,392.7327575683594,177.32000732421875,76.45999908447266,33.52000045776367,102.30000305175781,2.7720000743865967,6.5578999519348145,844.4099731445312,1.3930490016937256,3.765000104904175
2022-04-27,39.339439392089844,50.60120391845703,36.22164535522461,48.34617614746094,55.38766098022461,11.557672500610352,26.49351692199707,43.314640045166016,27.578672409057617,23.256916046142578,21.05000877380371,37.95819091796875,55.04505157470703,54.85056686401367,27.0,393.8370056152344,175.97999572753906,76.37000274658203,31.600000381469727,102.94999694824219,2.818000078201294,6.556300163269043,846.4099731445312,1.3993840217590332,3.765000104904175
2022-04-28,39.480979919433594,50.66552734375,36.5465087890625,49.01545715332031,55.08723068237305,11.980515480041504,26.70028305053711,43.75533676147461,27.410905838012695,23.588394165039062,20.733142852783203,38.443119049072266,56.06334686279297,56.04602813720703,26.84000015258789,403.7851257324219,176.92999267578125,78.08000183105469,29.989999771118164,103.62000274658203,2.86299991607666,6.559500217437744,846.4500122070312,1.4033700227737427,3.825000047683716
