date,lme_al_cw
2021-08-25,34.45
2021-08-26,33.8
2021-08-27,32.91
2021-08-30,32.91
2021-08-31,36.32
2021-09-01,35.47
2021-09-02,35.4
2021-09-06,35.42
2021-09-07,35.04
2021-09-08,35.94
2021-09-09,36.64
2021-09-10,37.04
2021-09-13,37.02
2021-09-14,36.69
2021-09-15,36.7
2021-09-16,36.69
2021-09-17,37.14
2021-09-20,42.38
2021-09-21,45.88
2021-09-22,45.84
2021-09-23,45.49
2021-09-24,44.94
2021-09-27,46.01
2021-09-28,45.88
2021-09-29,48.45
2021-09-30,48.09
2021-10-01,47.73
2021-10-04,47.26
2021-10-05,46.82
2021-10-06,46.22
2021-10-07,46.29
2021-10-08,45.47
2021-10-11,44.58
2021-10-12,43.97
2021-10-13,43.52
2021-10-14,44.14
2021-10-15,44.05
2021-10-18,43.75
2021-10-19,43.33
2021-10-20,43.07
2021-10-21,42.79
2021-10-22,42.84
2021-10-25,42.41
2021-10-26,41.64
2021-10-27,41.14
2021-10-28,40.52
2021-10-29,40.03
2021-11-01,39.61
2021-11-02,39.19
2021-11-03,38.68
2021-11-04,38.41
2021-11-05,38.07
2021-11-08,37.84
2021-11-09,39.49
2021-11-10,39.15
2021-11-11,39.33
2021-11-12,38.87
2021-11-15,38.48
2021-11-16,37.93
2021-11-17,38.25
2021-11-18,38.3
2021-11-19,39.1
2021-11-22,38.72
2021-11-23,38.66
2021-11-24,37.86
2021-11-25,37.56
2021-11-26,37.07
2021-11-29,36.61
2021-11-30,36.03
2021-12-01,35.52
2021-12-02,23.87
2021-12-03,23.29
2021-12-06,22.25
2021-12-07,21.83
2021-12-08,20.57
2021-12-09,20.02
2021-12-10,18.85
2021-12-13,18.39
2021-12-14,14.87
2021-12-15,13.0
2021-12-16,13.77
2021-12-17,16.15
2021-12-20,22.7
2021-12-21,22.37
2021-12-22,22.27
2021-12-23,24.48
2021-12-24,24.38
2021-12-27,24.38
2021-12-28,24.38
2021-12-29,26.0
2021-12-30,24.73
2021-12-31,24.44
2022-01-03,24.44
2022-01-04,30.47
2022-01-05,34.07
2022-01-06,40.23
2022-01-07,41.52
2022-01-10,41.18
2022-01-11,42.8
2022-01-12,42.91
2022-01-13,44.0
2022-01-14,43.86
2022-01-17,45.34
2022-01-18,46.11
2022-01-19,45.98
2022-01-20,46.88
2022-01-21,47.77
2022-01-24,47.48
2022-01-25,46.6
2022-01-26,45.93
2022-01-27,45.33
2022-01-28,44.49
2022-01-31,43.77
2022-02-01,43.54
2022-02-02,43.09
2022-02-03,47.1
2022-02-04,46.66
2022-02-07,46.15
2022-02-08,45.43
2022-02-09,45.03
2022-02-10,32.44
2022-02-11,30.62
2022-02-14,30.82
2022-02-15,30.12
2022-02-16,31.46
2022-02-17,33.81
2022-02-18,33.32
2022-02-21,35.83
2022-02-22,32.64
2022-02-23,31.58
2022-02-24,30.77
2022-02-25,29.55
2022-02-28,28.86
2022-03-01,28.04
2022-03-02,36.92
2022-03-03,37.07
2022-03-04,37.39
2022-03-07,37.68
2022-03-08,37.11
2022-03-09,36.45
2022-03-10,35.75
2022-03-11,35.14
2022-03-14,36.88
2022-03-15,36.05
2022-03-16,35.08
2022-03-17,34.53
2022-03-18,34.96
2022-03-21,34.46
2022-03-22,36.13
2022-03-23,36.06
2022-03-24,36.09
2022-03-25,35.28
2022-03-28,33.97
2022-03-29,33.2
2022-03-30,32.3
2022-03-31,32.69
2022-04-01,31.83
2022-04-04,34.15
2022-04-05,33.47
2022-04-06,33.9
2022-04-07,35.62
2022-04-08,35.78
2022-04-11,35.16
2022-04-12,34.44
2022-04-13,35.21
2022-04-14,35.6
2022-04-15,35.6
2022-04-18,35.6
2022-04-19,35.24
2022-04-20,35.68
2022-04-21,37.34
2022-04-22,36.94
2022-04-25,36.18
2022-04-26,35.69
2022-04-27,35.12
2022-04-28,34.65
2022-04-29,34.12
2022-05-02,34.12
2022-05-03,32.88
2022-05-04,32.44
