Material Type,Commodity,Commodity Type,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Start Date,End Date,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Closing Cost,Closing Weight,Closing Cost/um,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current)
"#2 ICW 35%",COPPER TIER 2,NON_FERROUS,59.8033,183,329.9429,1020,CUIN235,1203,1203,0E-20,2025-12-31,2025-12-31,0,0,0,0,389.7462,1203,0,0,0,0,389.7462,1203,0.32397855361596009975,59.8033,183,0,0,0,0,329.9429,1020,0,0,0,0,0,0,MILTON,Benton Metals,,,0.32397855361596009975,0.3887742643391521197000,,0,0
"#2 ICW 45%",COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,CUIN245,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
"#2 ICW 55%",COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,CUIN255,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
"#2 ICW 65%",COPPER TIER 2,NON_FERROUS,128.1280,104,909.1819,738,CUIN265,842,842,0E-20,2025-12-31,2025-12-31,0,0,0,0,1037.3099,842,0,0,0,0,1037.3099,842,1.2319595011876485,128.1280,104,0,0,0,0,909.1819,738,0,0,0,0,0,0,MILTON,Benton Metals,,,1.2319595011876485,1.478351401425178200,,0,0
"#2 ICW 80%",COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,CUIN280,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
3003 ALUMINUM WITH POLY,ALUMINUM,NON_FERROUS,0.0000,0,0,0,30ALP,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
301 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,NISS301,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
304 STAINLESS L,STAINLESS STEEL TIER 1,NON_FERROUS,0.0000,0,0,0,304SSL,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
304 STAINLESS OVERSIZED,STAINLESS STEEL TIER 1,NON_FERROUS,0.0000,0,0,0,304SSOS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
304 STAINLESS SOLIDS,STAINLESS STEEL TIER 1,NON_FERROUS,0.0000,0,0,0,NISS300,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
304 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,NON_FERROUS,785.4637,3024,0,0,NI300BO,3024,3024,0E-20,2025-12-31,2025-12-31,0,0,0,0,785.4637,3024,0,0,0,0,785.4637,3024,0.25974328703703703704,785.4637,3024,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.25974328703703703704,0.3116919444444444444480,,0,0
304 STAINLESS WITH POLY,STAINLESS STEEL TIER 1,NON_FERROUS,0.0000,0,0,0,304STNPLY,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
309 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,NISS309,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
3105 AL SOLIDS,ALUMINUM,NON_FERROUS,195.2000,488,0,0,3105ALSOL,488,488,0E-20,2025-12-31,2025-12-31,0,0,0,0,195.2000,488,0,0,0,0,195.2000,488,0.40000000000000000000,195.2000,488,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.40000000000000000000,0.4800000000000000000000,,0,0
