Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
Merrillville,PTD3003,3003 AL PAINTED,ALUMINUM,NON_FERROUS,45,0,45,9.0000,0,9.0000,0.2000
Milton,PTD3003,3003 AL PAINTED,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,AL3003,3003 AL SOLIDS,ALUMINUM,NON_FERROUS,783,0,783,566.7059,0,566.7059,0.7238
Milton,30ALP,3003 ALUMINUM WITH POLY,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,3105ALSOL,3105 AL SOLIDS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,319ALFLASHING,319 AL FLASHINGS ,ALUMINUM,NON_FERROUS,0,2113,2113,0,754.2692,754.2692,0.3570
Milton,319CSTAL,319 CASTINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,380ALTRN,380 ALUMINUM TURNINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,380NCAL,380 BARE NEW CAST ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,380NCRUB,380 NEW CAST W/ 5% RUBBER ATTACHMENTS,ALUMINUM,NON_FERROUS,0,1226,1226,0,367.0485,367.0485,0.2994
Merrillville,380PTDNC,380 PTD NEW CAST,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,380PTDNC,380 PTD NEW CAST,ALUMINUM,NON_FERROUS,30,0,30,8.9910,0,8.9910,0.2997
Merrillville,AL05052,5052 ALUMINUM,ALUMINUM,NON_FERROUS,429,0,429,171.6000,0,171.6000,0.4000
Milton,AL05052,5052 ALUMINUM,ALUMINUM,NON_FERROUS,12443,4068,16511,21380.8695,4595.1446,25976.0141,1.5733
Milton,AL5052SHPOLY,5052 ALUMINUM SHEET W/POLY,ALUMINUM,NON_FERROUS,708,0,708,1033.8113,0,1033.8113,1.4602
Milton,6022ALUM,6022 ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,6061ALR,6061 AL RIMS,ALUMINUM,NON_FERROUS,486,704,1190,215.8601,320.8762,536.7363,0.4510
Milton,6061ALR,6061 AL RIMS,ALUMINUM,NON_FERROUS,357,600,957,262.0608,220.4400,482.5008,0.5042
