Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost,Hold Total
Merrillville,EDMW,EDM WIRE ,BRASS TIER 1,NON_FERROUS,366,0,366,805.2000,0,805.2000,2.2000,0
Milton,EDMW,EDM WIRE ,BRASS TIER 1,NON_FERROUS,365,0,365,610.6622,0,610.6622,1.6730,0
Merrillville,IyRdBr,Irony Red Brass,BRASS TIER 1,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,IrYwBr,Irony Yellow Brass,BRASS TIER 1,NON_FERROUS,633,0,633,852.1420,0,852.1420,1.3462,0
Milton,IrYwBr,Irony Yellow Brass,BRASS TIER 1,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,BRFAUC,LOW GRADE FAUCET BRASS,BRASS TIER 1,NON_FERROUS,208,0,208,128.9325,0,128.9325,0.6199,0
Milton,OXEDMWR,OXIDIZED EDM WIRE,BRASS TIER 1,NON_FERROUS,290,0,290,435.5154,0,435.5154,1.5018,0
Milton,RDBM,RED BALL MILL,BRASS TIER 1,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,BRREDSD,RED BRASS SOLIDS,BRASS TIER 1,NON_FERROUS,168,0,168,482.5462,0,482.5462,2.8723,0
Milton,BRREDSD,RED BRASS SOLIDS,BRASS TIER 1,NON_FERROUS,37,0,37,101.0500,0,101.0500,2.7311,0
Merrillville,BR360BO,RED BRASS TURNINGS,BRASS TIER 1,NON_FERROUS,40,0,40,112.0000,0,112.0000,2.8000,0
Milton,BR360BO,RED BRASS TURNINGS,BRASS TIER 1,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,SEMREBR,SEMI RED BRASS,BRASS TIER 1,NON_FERROUS,0,0,0,0,0,0,0,0
