date,shfe_hrc_close
2021-09-28,5740.0
2021-09-29,5774.0
2021-09-30,5801.0
2021-10-08,5892.0
2021-10-11,5881.0
2021-10-12,5826.0
2021-10-13,5768.0
2021-10-14,5729.0
2021-10-15,5781.0
2021-10-18,5814.0
2021-10-19,5792.0
2021-10-20,5722.0
2021-10-21,5639.0
2021-10-22,5475.0
2021-10-25,5497.0
2021-10-26,5412.0
2021-10-27,5379.0
2021-10-28,5074.0
2021-10-29,5213.0
2021-11-01,5213.0
2021-11-02,5083.0
2021-11-03,5020.0
2021-11-04,5020.0
2021-11-05,5020.0
2021-11-08,5020.0
2021-11-09,4800.0
2021-11-10,4650.0
2021-11-11,4500.0
2021-11-12,4860.0
2021-11-15,4720.0
2021-11-16,4646.0
2021-11-17,4638.0
2021-11-18,4610.0
2021-11-19,4607.0
2021-11-22,4681.0
2021-11-23,4653.0
2021-11-24,4705.0
2021-11-25,4756.0
2021-11-26,4637.0
2021-11-29,4680.0
2021-11-30,4624.0
2021-12-01,4715.0
2021-12-02,4715.0
2021-12-03,4780.0
2021-12-06,4780.0
2021-12-07,4780.0
2021-12-08,5016.0
2021-12-09,4950.0
2021-12-10,4950.0
2021-12-13,4950.0
2021-12-14,4950.0
2021-12-15,4950.0
2021-12-16,4824.0
2021-12-17,4840.0
2021-12-20,4841.0
2021-12-21,4768.0
2021-12-22,4761.0
2021-12-23,4758.0
2021-12-24,4797.0
2021-12-27,4721.0
2021-12-28,4710.0
2021-12-29,4721.0
2021-12-30,4738.0
2021-12-31,4729.0
2022-01-04,4736.0
2022-01-05,4751.0
2022-01-06,4795.0
2022-01-07,4825.0
2022-01-10,4823.0
2022-01-11,4834.0
2022-01-12,4858.0
2022-01-13,4888.0
2022-01-14,4852.0
2022-01-17,4836.0
2022-01-18,4795.0
2022-01-19,4926.0
2022-01-20,4918.0
2022-01-21,4938.0
2022-01-24,4923.0
2022-01-25,4904.0
2022-01-26,4904.0
2022-01-27,4926.0
2022-01-28,4970.0
2022-02-07,5015.0
2022-02-08,5100.0
2022-02-09,5095.0
2022-02-10,5080.0
2022-02-11,5100.0
2022-02-14,5088.0
2022-02-15,4972.0
2022-02-16,4961.0
2022-02-17,4915.0
2022-02-18,4938.0
2022-02-21,4965.0
2022-02-22,4983.0
2022-02-23,4982.0
2022-02-24,4909.0
2022-02-25,4854.0
2022-02-28,4910.0
2022-03-01,5078.0
2022-03-02,5140.0
2022-03-03,5274.0
2022-03-04,5285.0
2022-03-07,5399.0
2022-03-08,5337.0
2022-03-09,5208.0
2022-03-10,5065.0
2022-03-11,5176.0
2022-03-14,5030.0
2022-03-15,5019.0
2022-03-16,5010.0
2022-03-17,5070.0
2022-03-18,5096.0
2022-03-21,5135.0
2022-03-22,5175.0
2022-03-23,5164.0
2022-03-24,5185.0
2022-03-25,5258.0
2022-03-28,5293.0
2022-03-29,5288.0
2022-03-30,5255.0
2022-03-31,5288.0
2022-04-01,5283.0
2022-04-06,5283.0
2022-04-07,5283.0
2022-04-08,5283.0
2022-04-11,5158.0
2022-04-12,5170.0
2022-04-13,5177.0
2022-04-14,5177.0
2022-04-15,5236.0
2022-04-18,5224.0
2022-04-19,5246.0
2022-04-20,5267.0
2022-04-21,5230.0
2022-04-22,5182.0
2022-04-25,5078.0
2022-04-26,5000.0
2022-04-27,5033.0
2022-04-28,5005.0
2022-04-29,5011.0
2022-05-05,5067.0
2022-05-06,4991.0
2022-05-09,4850.0
2022-05-10,4751.0
2022-05-11,4804.0
2022-05-12,4816.0
2022-05-13,4804.0
2022-05-16,4822.0
2022-05-17,4838.0
2022-05-18,4812.0
2022-05-19,4737.0
2022-05-20,4813.0
2022-05-23,4861.0
2022-05-24,4783.0
2022-05-25,4746.0
2022-05-26,4720.0
2022-05-27,4778.0
2022-05-30,4786.0
2022-05-31,4817.0
2022-06-01,4870.0
2022-06-02,5049.0
2022-06-06,4920.0
2022-06-07,4920.0
2022-06-08,4920.0
2022-06-09,4852.0
2022-06-10,4900.0
2022-06-13,4890.0
2022-06-14,4800.0
2022-06-15,4761.0
2022-06-16,4682.0
2022-06-17,4569.0
2022-06-20,4380.0
2022-06-21,4322.0
2022-06-22,4328.0
2022-06-23,4310.0
2022-06-24,4316.0
2022-06-27,4363.0
2022-06-28,4371.0
2022-06-29,4435.0
2022-06-30,4406.0
2022-07-01,4290.0
