date,sgx_io_close
2020-01-16,94.67
2020-01-17,95.0
2020-01-20,95.04
2020-01-21,94.98
2020-01-22,94.81
2020-01-23,93.9
2020-01-24,94.37
2020-01-27,93.6
2020-01-28,91.85
2020-01-29,92.62
2020-01-30,92.61
2020-01-31,92.44
2020-02-03,78.62
2020-02-04,81.73
2020-02-05,79.71
2020-02-06,80.86
2020-02-07,81.62
2020-02-10,81.23
2020-02-11,84.03
2020-02-12,85.56
2020-02-13,85.79
2020-02-14,85.76
2020-02-17,86.72
2020-02-18,86.48
2020-02-19,86.49
2020-02-20,87.19
2020-02-21,87.36
2020-02-24,87.23
2020-02-25,87.18
2020-02-26,86.69
2020-02-27,86.36
2020-02-28,86.46
2020-03-02,87.13
2020-03-03,87.3
2020-03-04,89.73
2020-03-05,90.47
2020-03-06,89.07
2020-03-09,87.35
2020-03-10,90.21
2020-03-11,89.15
2020-03-12,89.22
2020-03-13,90.24
2020-03-16,89.91
2020-03-17,90.05
2020-03-18,90.4
2020-03-19,89.73
2020-03-20,89.12
2020-03-23,85.89
2020-03-24,87.86
2020-03-25,88.65
2020-03-26,88.33
2020-03-27,88.29
2020-03-30,88.21
2020-03-31,88.02
2020-04-01,80.58
2020-04-02,81.87
2020-04-03,82.2
2020-04-06,82.45
2020-04-07,81.67
2020-04-08,82.99
2020-04-09,83.62
2020-04-10,83.71
2020-04-13,84.2
2020-04-14,84.89
2020-04-15,84.54
2020-04-16,84.35
2020-04-17,84.53
2020-04-20,84.89
2020-04-21,83.73
2020-04-22,84.32
2020-04-23,83.73
2020-04-24,83.68
2020-04-27,83.72
2020-04-28,83.56
2020-04-29,83.75
2020-04-30,83.84
2020-05-01,82.45
2020-05-04,82.04
2020-05-05,82.93
2020-05-06,83.18
2020-05-07,84.73
2020-05-08,87.18
2020-05-11,87.08
2020-05-12,88.42
2020-05-13,89.13
2020-05-14,89.22
2020-05-15,90.66
2020-05-18,91.9
2020-05-19,92.49
2020-05-20,92.49
2020-05-21,92.18
2020-05-22,92.66
2020-05-26,92.17
2020-05-27,92.13
2020-05-28,92.24
2020-05-29,92.54
2020-06-01,99.69
2020-06-02,100.55
2020-06-03,100.87
2020-06-04,98.56
2020-06-05,100.21
2020-06-08,104.05
2020-06-09,103.38
2020-06-10,103.19
2020-06-11,102.81
2020-06-12,104.25
2020-06-15,103.27
2020-06-16,104.0
2020-06-17,103.34
2020-06-18,102.99
2020-06-19,103.1
2020-06-22,102.45
2020-06-23,102.46
2020-06-24,103.13
2020-06-25,103.05
2020-06-26,103.04
2020-06-29,103.11
2020-06-30,102.95
2020-07-01,98.3
2020-07-02,98.84
2020-07-03,99.73
2020-07-06,100.72
2020-07-07,102.22
2020-07-08,104.85
2020-07-09,105.26
2020-07-10,105.08
2020-07-13,108.56
2020-07-14,109.22
2020-07-15,109.11
2020-07-16,108.16
2020-07-17,107.99
2020-07-20,107.66
2020-07-21,108.45
2020-07-22,108.25
2020-07-23,108.33
2020-07-24,107.78
2020-07-27,107.4
2020-07-28,107.67
2020-07-29,107.83
2020-07-30,108.05
2020-07-31,108.97
2020-08-03,113.79
2020-08-04,115.36
2020-08-05,116.0
2020-08-06,118.91
2020-08-07,117.89
2020-08-10,117.98
2020-08-11,119.4
2020-08-12,120.59
2020-08-13,120.14
2020-08-14,120.23
2020-08-17,120.85
2020-08-18,123.23
2020-08-19,123.97
2020-08-20,124.03
2020-08-21,123.43
2020-08-24,122.83
2020-08-25,122.3
2020-08-26,122.54
2020-08-27,122.43
2020-08-28,122.48
2020-08-31,122.53
2020-09-01,123.56
2020-09-02,125.99
2020-09-03,128.43
2020-09-04,127.41
2020-09-07,127.87
2020-09-08,127.78
2020-09-09,125.95
2020-09-10,125.92
2020-09-11,127.55
2020-09-14,129.15
2020-09-15,127.99
2020-09-16,125.82
2020-09-17,125.15
2020-09-18,126.42
2020-09-21,124.47
2020-09-22,124.0
2020-09-23,122.96
2020-09-24,123.29
2020-09-25,123.42
2020-09-28,123.6
2020-09-29,123.74
2020-09-30,123.98
2020-10-01,121.37
2020-10-02,120.31
2020-10-05,120.68
2020-10-06,121.71
2020-10-07,121.54
2020-10-08,122.12
2020-10-09,124.76
2020-10-12,123.11
2020-10-13,121.22
2020-10-14,120.23
2020-10-15,119.67
2020-10-16,120.37
2020-10-19,120.73
2020-10-20,120.81
2020-10-21,121.03
2020-10-22,121.11
2020-10-23,120.1
2020-10-26,119.81
2020-10-27,120.06
2020-10-28,120.1
2020-10-29,119.95
2020-10-30,120.19
2020-11-02,117.67
2020-11-03,116.32
2020-11-04,116.65
2020-11-05,116.69
2020-11-06,117.52
2020-11-09,120.26
2020-11-10,120.83
2020-11-11,122.61
2020-11-12,121.46
2020-11-13,120.89
2020-11-16,121.42
2020-11-17,122.78
2020-11-18,123.35
2020-11-19,124.07
2020-11-20,124.17
2020-11-23,123.57
2020-11-24,123.92
2020-11-25,124.15
2020-11-26,124.33
2020-11-27,124.4
2020-11-30,124.62
2020-12-01,130.6
2020-12-02,134.34
2020-12-03,135.63
2020-12-04,142.22
2020-12-07,145.59
2020-12-08,146.43
2020-12-09,147.84
2020-12-10,153.27
2020-12-11,155.18
2020-12-14,151.3
2020-12-15,152.34
2020-12-16,152.89
2020-12-17,153.72
2020-12-18,155.64
2020-12-21,160.15
2020-12-22,156.71
2020-12-23,156.31
2020-12-24,156.75
2020-12-28,156.73
2020-12-29,156.08
2020-12-30,156.07
2020-12-31,155.84
2021-01-04,163.65
2021-01-05,166.04
2021-01-06,167.14
2021-01-07,169.79
2021-01-08,169.86
2021-01-11,169.14
2021-01-12,169.39
2021-01-13,168.73
2021-01-14,170.11
2021-01-15,170.15
2021-01-18,171.26
2021-01-19,169.8
2021-01-20,169.46
2021-01-21,169.83
2021-01-22,169.34
2021-01-25,169.35
2021-01-26,168.64
2021-01-27,169.13
2021-01-28,168.39
2021-01-29,168.13
2021-02-01,154.64
2021-02-02,148.07
2021-02-03,150.48
2021-02-04,155.75
2021-02-05,153.74
2021-02-08,156.38
2021-02-09,159.06
2021-02-10,161.03
2021-02-11,161.13
2021-02-12,160.82
2021-02-15,161.22
2021-02-16,162.79
2021-02-17,163.01
2021-02-18,164.75
2021-02-19,164.95
2021-02-22,165.87
2021-02-23,165.3
2021-02-24,165.24
2021-02-25,165.4
2021-02-26,165.61
2021-03-01,171.75
2021-03-02,172.98
2021-03-03,173.88
2021-03-04,175.47
2021-03-05,172.56
2021-03-08,172.84
2021-03-09,166.06
2021-03-10,165.98
2021-03-11,169.89
2021-03-12,167.08
2021-03-15,166.29
2021-03-16,167.24
2021-03-17,167.44
2021-03-18,167.83
2021-03-19,165.58
2021-03-22,164.63
2021-03-23,165.36
2021-03-24,166.15
2021-03-25,165.82
2021-03-26,166.12
2021-03-29,166.71
2021-03-30,166.86
2021-03-31,166.9
2021-04-01,163.58
2021-04-02,163.0
2021-04-05,166.2
2021-04-06,166.73
2021-04-07,169.2
2021-04-08,170.11
2021-04-09,170.01
2021-04-12,171.07
2021-04-13,171.02
2021-04-14,171.42
2021-04-15,174.01
2021-04-16,174.11
2021-04-19,176.12
2021-04-20,178.82
2021-04-21,178.63
2021-04-22,178.0
2021-04-23,178.54
2021-04-26,179.54
2021-04-27,180.17
2021-04-28,179.79
2021-04-29,179.78
2021-04-30,179.63
2021-05-03,187.94
2021-05-04,189.83
2021-05-05,190.73
2021-05-06,197.79
2021-05-07,206.28
2021-05-10,220.72
2021-05-11,219.8
2021-05-12,223.94
2021-05-13,214.4
2021-05-14,208.59
2021-05-17,211.44
2021-05-18,215.44
2021-05-19,212.19
2021-05-20,210.16
2021-05-21,207.83
2021-05-24,205.3
2021-05-25,204.58
2021-05-26,202.72
2021-05-27,205.14
2021-05-28,204.99
2021-05-31,205.69
2021-06-01,204.74
2021-06-02,204.9
2021-06-03,207.58
2021-06-04,205.62
2021-06-07,201.37
2021-06-08,207.44
2021-06-09,210.29
2021-06-10,212.81
