Date,copper
2022-11-18,8007.179772720337
2022-11-21,7873.800468764305
2022-11-22,7968.599090919494
2022-11-23,7975.2129971742625
2022-11-25,7995.0541903162
2022-11-28,7959.780724453925
2022-11-29,8002.770852298736
2022-11-30,8222.130411944388
2022-12-01,8408.4204403162
2022-12-02,8483.377869329452
2022-12-05,8354.40748579502
2022-12-06,8402.909289789199
2022-12-07,8499.91237215519
2022-12-08,8555.028082404137
2022-12-09,8545.1069602108
2022-12-12,8374.249204559326
2022-12-13,8464.638380670547
2022-12-14,8542.9025
2022-12-15,8295.985085229873
2022-12-16,8292.677869291305
2022-12-19,8340.077443180084
2022-12-20,8372.044218726158
2022-12-21,8390.783707385062
2022-12-22,8270.6316903162
2022-12-23,8384.169801130294
2022-12-27,8451.41056816101
2022-12-28,8448.10387784481
2022-12-29,8423.853238658905
2022-12-30,8389.681477279662
2023-01-03,8302.598991484641
2023-01-04,8244.176590919495
2023-01-05,8417.239332404137
2023-01-06,8616.757173285483
2023-01-09,8859.265142011642
2023-01-10,8966.189346570969
2023-01-11,9159.093806819916
2023-01-12,9228.539034061432
2023-01-13,9275.938607950211
2023-01-17,9292.473636398316
2023-01-18,9322.235426111221
2023-01-19,9317.82650568962
2023-01-20,9366.327784061432
2023-01-23,9378.453892087937
2023-01-24,9359.71440342903
2023-01-25,9347.588295402526
2023-01-26,9407.11397731781
2023-01-27,9312.314829540252
2023-01-30,9267.119715862274
2023-01-31,9322.235426111221
2023-02-01,9063.192954559327
2023-02-02,9025.713977241516
2023-02-03,8957.371505727768
2023-02-06,8914.380852260589
2023-02-07,9013.588920459746
2023-02-08,8914.380852260589
2023-02-09,9051.067897777557
2023-02-10,8879.107386398315
2023-02-13,9010.28170452118
2023-02-14,9060.988494348525
2023-02-15,8933.120340919495
2023-02-16,9183.344971628188
2023-02-17,9069.806335191726
2023-02-21,9335.463238620758
2023-02-22,9264.915255651473
2023-02-23,8979.417159080505
2023-02-24,8719.271931800842
2023-02-27,8838.321193141937
2023-02-28,9033.430113601684
2023-03-01,9188.856647777557
2023-03-02,9003.668323888778
2023-03-03,8990.440511379242
2023-03-06,9040.04454547882
2023-03-07,8788.717684664725
2023-03-08,8909.971931838989
2023-03-09,8938.632017068863
2023-03-10,8918.78977268219
2023-03-13,8971.701022720337
2023-03-14,8841.628409080506
2023-03-15,8502.11683236599
2023-03-16,8566.050909080504
2023-03-17,8627.780525584221
2023-03-20,8764.467045478821
2023-03-21,8859.265142011642
2023-03-22,8969.496562509536
2023-03-23,9140.354318161011
2023-03-24,9042.24900568962
2023-03-27,9048.862386322022
2023-03-28,9065.397414770126
2023-03-29,9072.010795402526
2023-03-30,9017.997840881348
2023-03-31,9048.862386322022
2023-04-03,8949.6553693676
2023-04-04,8782.103778409957
2023-04-05,8814.070553956031
2023-04-06,8875.800170459746
2023-04-10,8788.717684664725
2023-04-11,8872.492954521178
2023-04-12,9004.770028371811
2023-04-13,9091.8530397892
2023-04-14,9055.476818199157
2023-04-17,8963.984886360167
2023-04-18,9015.793380670548
2023-04-19,8977.212698869705
2023-04-20,8866.98127837181
2023-04-21,8774.387642049789
2023-04-24,8714.863011379242
2023-04-25,8478.968423285483
2023-04-26,8487.786789751053
2023-04-27,8519.754090919494
2023-04-28,8531.879147701264
2023-05-01,8635.49666194439
2023-05-02,8483.377869329452
2023-05-03,8447.00164773941
2023-05-04,8487.786789751053
2023-05-05,8535.18636363983
2023-05-08,8637.70112215519
2023-05-09,8573.767045440673
2023-05-10,8439.285511379241
2023-05-11,8151.582428975104
2023-05-12,8193.470326714516
2023-05-15,8239.767144875526
2023-05-16,8056.783806819915
2023-05-17,8251.892727279663
2023-05-18,8116.308437490463
2023-05-19,8206.698139224052
2023-05-22,8099.773934664726
2023-05-23,8028.123721590042
2023-05-24,7834.117031235694
2023-05-25,7893.641661906242
2023-05-26,8098.671704559326
2023-05-30,8064.499943180083
2023-05-31,8004.975312509537
2023-06-01,8171.42414773941
2023-06-02,8206.698139224052
2023-06-05,8294.882855124473
2023-06-06,8304.803451695441
2023-06-07,8277.245596570969
2023-06-08,8369.839758515358
2023-06-09,8353.30525568962
2023-06-12,8268.427230105399
2023-06-13,8440.387741484641
2023-06-14,8523.060781235694
2023-06-15,8590.302073888779
2023-06-16,8563.846448869705
2023-06-20,8550.618636360168
2023-06-21,8622.268849434851
2023-06-22,8572.664815335273
2023-06-23,8390.783707385062
2023-06-26,8347.793579540252
2023-06-27,8336.770752863884
2023-06-28,8202.288693180084
2023-06-29,8107.490071024894
2023-06-30,8247.483281235694
2023-07-03,8331.259076714516
2023-07-05,8275.041136360169
2023-07-06,8201.186463074684
2023-07-07,8304.803451695441
2023-07-10,8314.724573888778
2023-07-11,8275.041136360169
2023-07-12,8470.150056819915
2023-07-13,8663.054517068862
2023-07-14,8646.519488620757
2023-07-17,8448.10387784481
2023-07-18,8412.829886360169
2023-07-19,8376.453664770126
2023-07-20,8416.137102298737
2023-07-21,8384.169801130294
2023-07-24,8466.843366503716
2023-07-25,8602.427130670547
2023-07-26,8577.07426137924
2023-07-27,8517.549630708694
2023-07-28,8635.49666194439
2023-07-31,8806.354417595863
2023-08-01,8583.688167634009
2023-08-02,8438.183281273841
2023-08-03,8545.1069602108
2023-08-04,8476.763963074683
2023-08-07,8406.2159801054
2023-08-08,8262.91555395603
2023-08-09,8305.905681800841
2023-08-10,8269.5294602108
2023-08-11,8189.060880670547
2023-08-14,8211.107059645652
2023-08-15,8072.216079540252
2023-08-16,8050.169900565147
2023-08-17,8125.126803956032
2023-08-18,8154.889119291305
2023-08-21,8183.549204521179
2023-08-22,8268.427230105399
2023-08-23,8385.272031235694
2023-08-24,8305.905681800841
2023-08-25,8289.371178975105
2023-08-28,8276.143366465569
2023-08-29,8362.12362215519
2023-08-30,8344.486889224052
2023-08-31,8316.929034099578
2023-09-01,8405.11375
2023-09-05,8401.807059683799
2023-09-06,8264.018309683799
2023-09-07,8214.41427558422
