dtc_row_id,dtc_order_no,ticket_row_id,ticket,pseudo_label,pseudo_labeled_order,pseudo_label_reason,pseudo_margin,rule_score,rule_raw,rule_max_possible,rule_rank,score_gap_to_best,dtc_weight,ticket_weight,weight_abs_diff,weight_pct_diff,date_abs_days,date_signed_days,same_day,code_points,code_diff_points,desc_points,net_wt_points,net_wt_over_points,date_points,time_points,price_points,model_probability
67,1334,49,15723,0,0,,5.899999999999999,36.1,48.0,133.0,17.0,14.899999999999999,46520,597,45923,0.9871668099742047,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.006919719852285156
67,1334,48,15723,0,0,,5.899999999999999,36.1,48.0,133.0,18.0,14.899999999999999,46520,603,45917,0.9870378331900258,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.006880699507264353
67,1334,47,15723,0,0,,5.899999999999999,36.1,48.0,133.0,19.0,14.899999999999999,46520,613,45907,0.9868228718830611,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.006842301024818945
67,1334,46,15723,0,0,,5.899999999999999,36.1,48.0,133.0,20.0,14.899999999999999,46520,673,45847,0.9855331040412726,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.0068091311804279854
67,1334,45,15723,0,0,,5.899999999999999,36.1,48.0,133.0,21.0,14.899999999999999,46520,691,45829,0.985146173688736,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.00677192779114535
67,1334,44,15723,0,0,,5.899999999999999,36.1,48.0,133.0,22.0,14.899999999999999,46520,1008,45512,0.9783319002579536,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.0067646721430646515
67,1334,396,16394,0,0,,5.899999999999999,33.8,45.0,133.0,23.0,17.200000000000003,46520,14660,31860,0.6848667239896818,10,10,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,0.006078819969950355
67,1334,386,16255,0,0,,5.899999999999999,33.8,45.0,133.0,27.0,17.200000000000003,46520,10720,35800,0.7695614789337919,9,9,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,0.005785145541902483
67,1334,10,15574,0,0,,5.899999999999999,33.8,45.0,133.0,26.0,17.200000000000003,46520,17040,29480,0.6337059329320722,11,-11,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,0.00556048926535637
67,1334,425,16305,0,0,,5.899999999999999,33.8,45.0,133.0,24.0,17.200000000000003,46520,2100,44420,0.9548581255374032,13,13,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,0.004566783687533082
67,1334,433,16324,0,0,,5.899999999999999,0.0,-30.5,133.0,29.0,51.0,46520,47620,1100,0.023645743766122097,13,13,0.0,0.0,-40.0,0.0,2.71,0.0,0.0,0.0,6.79,0.0015337775164600712
68,1332,228,15979,1,1,top_clean_score_margin_weight_date,51.3,90.8,131.6,145.0,1.0,0.0,34460,34460,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,6.02,0.58,0.9895482986493327
68,1332,307,16073,0,1,,51.3,39.5,52.5,133.0,2.0,51.3,34460,21264,13196,0.38293673824724317,3,3,0.0,40.0,0.0,20.0,0.0,-15.0,7.5,0.0,0.0,0.0074627059048188275
68,1332,169,15803,0,1,,51.3,36.1,48.0,133.0,4.0,54.699999999999996,34460,25020,9440,0.2739408009286129,4,-4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.005048225443484119
68,1332,12,15683,0,1,,51.3,36.5,48.58,133.0,3.0,54.3,34460,28880,5580,0.16192687173534534,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.58,0.00498471741200685
68,1332,337,16185,0,1,,51.3,34.3,45.58,133.0,12.0,56.5,34460,42600,8140,0.23621590249564714,8,8,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.58,0.0036000163040009964
68,1332,181,15836,0,1,,51.3,36.1,48.0,133.0,5.0,54.699999999999996,34460,720,33740,0.9791062100986652,4,-4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.0033932865318149997
68,1332,182,15836,0,1,,51.3,36.1,48.0,133.0,6.0,54.699999999999996,34460,700,33760,0.97968659315148,4,-4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.0033726970818530443
68,1332,183,15836,0,1,,51.3,36.1,48.0,133.0,7.0,54.699999999999996,34460,680,33780,0.9802669762042948,4,-4,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.003352232142306187
68,1332,368,16197,0,1,,51.3,33.8,45.0,133.0,13.0,57.0,34460,47700,13240,0.3842135809634359,9,9,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,0.0030707685775340898
