dtc_row,outbound_ticket,out_csv_row,material,dtc_net,out_method,out_match,mat_code,yard,ship_date,in_method,in_match,in_csv_row,in_total,consumer,supplier,supplier_class,supplier_check,exception_reason,roster_ok,chase_suppliers
68,1295,41,BUSHELING,34460,exact net (linked ticket),1295,Indbush,Milton,2026-01-12,exact net,#15979,798,34460,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
69,1291,32,STEEL WIRE,38520,exact net (linked ticket),1291,STWR,Milton,2026-01-09,exact net,#15884,735,38520,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
70,1290,31,STEEL WIRE,39680,exact net (linked ticket),1290,STWR,Milton,2026-01-09,exact net,#15883,734,39680,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
71,1328,34,EDM WIRE ,2030,exact net (linked ticket),1328,EDMW,Milton,2026-01-10,exact net,#15873,692;693;694;695,2030,Padnos,Complexus Medical - Mishawaka,,ok (distinct counterparties),,Y,
72,1328,38,CARBIDE,255,exact net (linked ticket),1328,NICARBD,Milton,2026-01-10,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
73,1328,33,17-4 SOLIDS,2940,exact net (linked ticket),1328,174SOLIDS,Milton,2026-01-10,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka
74,1328,35,6063 BARE ALUMINUM EXTRUSION,3758,exact net (linked ticket),1328,AL06063,Milton,2026-01-10,exact net (outside same-day),#15871,485;486;488;489;490,3758,Padnos,Wait Industries,Manufacturing,ok (distinct counterparties),,Y,
75,1328,36,5052 ALUMINUM,974,exact net (linked ticket),1328,AL05052,Milton,2026-01-10,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Wait Industries
76,1328,39,ZZ DO NOT USE - ALUMINUM TURNINGS,774,exact net (linked ticket),1328,ALMTRNG,Milton,2026-01-10,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,Complexus Medical - Mishawaka
77,1328,37,17-4 STAINLESS STEEL TURNINGS,230,exact net (linked ticket),1328,NI174BO,Milton,2026-01-10,NONE,,,,Padnos,,,,net twin exists only under a different material/yard (coincidental),Y,Complexus Medical - Mishawaka; Complexus Medical - Plymouth
78,1286,18,BUSHELING,41480,exact net (linked ticket),1286,Indbush,Milton,2026-01-08,NONE,,,,Omni Source,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,Borkholder Metal Fab Plymouth; DAIFUKU WYNRIGHT; Holland Metal Fab; PENZ PRODUCTS; Stellar Industries; Teck Machine
79,1283,15,5052 ALUMINUM,11610,exact net (linked ticket),1283,AL05052,Milton,2026-01-08,exact net,#16140,434,11610,Padnos,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
80,1283,14,6061 ALUMINUM - SPC,1290,exact net (linked ticket),1283,AL06061,Milton,2026-01-08,NONE,,,,Padnos,,,,material not in BMR Transport roster - cannot be a DTC order (drop),N,
81,1282,13,ZZ DO NOT USE STEEL TURNINGS,61060,exact net (linked ticket),1282,FETURN,Milton,2026-01-07,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
82,1278,8,ZZ DO NOT USE STEEL TURNINGS,50700,exact net (linked ticket),1278,FETURN,Milton,2026-01-06,NONE,,,,Padnos,,,,no inbound ticket of this net anywhere (missing inbound leg / not a pass-through),Y,CIE Somaschini North America; Fema Corporation; R & H Machine Products (Ferrous); Schafer Industries - Schafer Gear Work; Suzuki Garphyttan SB
83,1279,9,STEEL BANDING (fe),26800,exact net (linked ticket),1279,STBD,Milton,2026-01-06,exact net,#15726,213,26800,Padnos,Champlain Specialty Metals,Manufacturing,ok (distinct counterparties),,Y,
84,1276,4,BUSHELING,28880,exact net (linked ticket),1276,Indbush,Milton,2026-01-05,exact net,#15683,123,28880,Omni Source,Stellar Industries,Manufacturing,ok (distinct counterparties),,Y,
85,1271,3,STEEL WIRE,37940,exact net (linked ticket),1271,STWR,Milton,2026-01-02,exact net,#15588,70,37940,Omni Source,Suzuki Garphyttan SB,Manufacturing,ok (distinct counterparties),,Y,
